Other Skills,ID
Apache Pig,0
Apache Hive,0
Cassandra,0
Hive,0
Apache Kafka,0
Data Processing,1
Large Scale Systems,1
ANTLR,1
JVM,1
Kubernetes,1
Tajo,1
Graph Algorithms,1
Audio Visual Support,2
Atlas.ti,2
ServiceNow,2
Amazon Redshift,2
Pipeline Development,2
Events Coordination,2
Dimensional Modeling,3
Erwin,3
Teradata,3
Data Quality,3
Analysis Services,3
Star Schema,3
SQL Tuning,3
OBIEE,3
Data Warehouse Architecture,3
OLAP,3
PowerCenter,3
CDC,3
Data Marts,3
Dashboard,3
Metadata Management,3
Datastage,3
Unix Shell Scripting,3
Inforamtica Data Quality,3
Informatica Metadata Manager,3
SSAS,3
Spark,4
Snowflake,4
Matillion,4
Data Science,4
Data Engineering,4
Apache Spark,4
DBMS,5
Data Science,5
Hive,5
Spark,6
Hive,6
Airflow,6
Snowflake,6
Amazon Redshift,6
Big Data Analytics,6
Relational Data Modeling,6
Logical Data Modeling,6
Athena,6
,7
Counterparty Risk,8
Quantitative Risk Analysis,8
Netezza,8
Teradata,8
Multivariate Statistics,8
Apache Spark,8
Teradata Data Warehouse,9
Toad,9
Weka,9
RStudio,9
GDB,9
Static Analysis,9
statictics,9
Test Case Generation,10
Gamification,10
Chef,11
Memes,12
GIF,12
SMARTS,12
Natural Language Processing,12
Predictive Modeling,12
Time Series Analysis,12
geniusness,12
,13
Teradata,14
Data Warehouse Architecture,14
Erwin,14
Data Quality,14
Sqoop,14
Messaging,14
Apache Pig,14
pig,14
Apache Spark,14
Snowflake,14
Amazon Redshift,14
FinTech,14
Data Engineering,14
Hive,14
Unix Shell Scripting,14
regtech,14
Data Architecture,14
Natural Language Processing,15
Hive,15
Dimensional Modeling,16
SQL Tuning,16
Hive,16
Data Warehouse Architecture,16
Job Scheduling,16
Apache Pig,16
Presto,16
Apache Spark,16
Spark sql,16
Data Engineering,16
Airflow,16
Unix Shell Scripting,16
Shell/Perl,16
"PIG , HIVE",17
"HDFS, Map Reduce",17
Apache Storm,17
SOAP and Rest full web services,17
Sqoop,17
Kafka,17
YARN,17
Apache-ignite,17
Accumulo,17
Snowflake Data Warehouse,17
iOS and Objective C.,17
"AJAX, XML, XSLT , JSON , JavaScript , JQuery.",17
"WebSphere, Tomcat 5.0 and Web logic as App server.",17
"JDBC, Servlets, JSP",17
Amazon Redshift,17
Airflow,17
"AWS- S3,EC2, Lambda, Glue, CodePipeline, Step Functions, IAM.",17
Microsoft BI Suite,18
ETL Tools,18
Analysis Services,18
Google App Engine,18
Flex,18
Business Intelligence Tools,18
Real Time Reports,18
Message Queue,18
