Skills & Endorsements,ID
Apache Spark,0
Apache Hadoop,0
Scala,0
Hadoop,1
Distributed Systems,1
MapReduce,1
Research,2
Microsoft Office,2
Public Speaking,2
ETL,3
Informatica,3
Data Warehousing,3
SQL,4
Python,4
Business Intelligence,4
Microsoft Office,5
Java,5
SQL,5
Data Engineering,6
Business Intelligence,6
Data Warehousing,6
Python,7
Machine Learning,7
Spark,7
C++,8
Microsoft Office,8
C,8
SQL,9
Microsoft Office,9
Microsoft Excel,9
CSS,10
JavaScript,10
HTML,10
JavaScript,11
Python,11
Data Visualization,11
Python,12
Machine Learning,12
Data Science,12
C,13
Java,13
Microsoft Office,13
Data Warehousing,14
ETL,14
Data Modeling,14
Hadoop,15
Java,15
Python,15
ETL,16
Data Warehousing,16
Teradata,16
Team Leadership,17
Hadoop 2.x,17
Apache Spark 2.x,17
Microsoft SQL Server,18
SQL,18
SSIS,18
Data Warehousing,19
Informatica,19
Data Modeling,19
PL/SQL,20
Informatica,20
ETL,20
Data Analysis,21
Statistics,21
Research,21
PL/SQL,22
Informatica,22
Oracle,22
CSS,23
jQuery,23
Microsoft Excel,23
Java,24
Unix,24
Hadoop,24
Machine Learning,25
Python (Programming Language),25
C++,25
Hive,26
Python,26
Apache Pig,26
Python,27
SQL,27
Databases,27
Tensorflow,28
ETL,28
Databases,28
Java,29
MySQL,29
Microsoft Office,29
Python,30
C++,30
Research,30
Pandas,31
Python,31
Amazon RDS,31
R,32
Python (Programming Language),32
SQL,32
Oracle,33
Unix,33
SQL,33
Java,34
SQL,34
Data Analysis,34
C,35
Python,35
Apache Spark,35
Data Analysis,36
Data Visualization,36
SQL,36
XML,37
XSLT,37
Functional Programming,37
Algorithms,38
Software Development,38
Image Processing,38
Oracle,39
Databases,39
Oracle RAC,39
Oracle,40
Databases,40
SQL,40
Java,41
Hadoop,41
Apache Spark,41
Python,42
R,42
Machine Learning,42
"Extract, Transform, Load (ETL)",43
SQL,43
Python,43
Data Mining,44
SQL,44
Python,44
Data Warehousing,45
ETL,45
Data Modeling,45
Data Engineering,46
Python,46
spark,46
Data Engineering,47
Python,47
Google Cloud Platform (GCP),47
Semiconductors,48
ASIC,48
Simulations,48
MySQL,49
Software Development,49
Database Design,49
Business Intelligence,50
Data Science,50
Strategy,50
Business Intelligence,51
Business Analysis,51
Data Warehousing,51
Apache Spark,52
Scala,52
Java,52
Python,53
Amazon Web Services (AWS),53
Data Engineering,53
Python,54
Databases,54
Machine Learning,54
MapReduce,55
Apache Pig,55
Hadoop,55
Databases,56
Software Development,56
Programming,56
Machine Learning,57
Data Engineering,57
"Extract, Transform, Load (ETL)",57
PL/SQL,58
Core Java,58
C,58
Python,59
Java,59
Microsoft Office,59
Microsoft Excel,60
PowerPoint,60
Microsoft Word,60
Matlab,61
Web Development,61
Java,61
Apache Spark,62
Big Data Analytics,62
Python,62
Big Data,63
Hadoop,63
Cloud Computing,63
PMO Services,64
Vendor Management,64
Microsoft Office,64
Data Engineering,65
Machine Learning,65
Amazon Web Services (AWS),65
Machine Learning,66
SQL,66
Python,66
Databases,67
SharePoint,67
SQL,67
R,68
Python,68
SQL,68
Computer Vision,69
C++,69
Algorithms,69
SQL,70
Tableau,70
Python,70
Hadoop,71
Map Reduce,71
Hive,71
Data Warehousing,72
Informatica,72
ETL,72
Python (Programming Language),73
Data Analysis,73
Test Automation,73
Python,74
SQL,74
Amazon Web Services (AWS),74
Teradata,75
R,75
Python,75
Python (Programming Language),76
Big Data,76
Amazon Web Services (AWS),76
Data Warehousing Design,77
"Hadoop Technologies (Pig, Hive, HDFS)",77
Big Data,77
Data Analysis,78
Research,78
Matlab,78
Java,79
Python,79
Ruby,79
SQL,80
Requirements Analysis,80
Data Warehousing,80
SQL,81
Oracle,81
SDLC,81
Computer Science,82
Java,82
Programming,82
Algorithms,83
Spark,83
Kafka,83
Big Data Analytics,84
Apache Spark,84
Java,84
SQL,85
Python,85
Tableau,85
SQL,86
PL/SQL,86
Linux,86
Software Development,87
Java,87
Apache Kafka,87
Python,88
SQL,88
R,88
Python,89
Amazon Web Services (AWS),89
Apache Spark,89
Microsoft Word,90
Java,90
Microsoft Office,90
Data Science,91
Data Analysis,91
Machine Learning,91
Data Warehousing,92
Python,92
Java,92
Python,93
SQL,93
Requirements Analysis,93
SQL,94
MySQL,94
Python,94
Python,95
R,95
SQL,95
C++,96
C,96
Java,96
Python,97
Machine Learning,97
Data Analysis,97
Data Warehousing,98
Business Intelligence,98
Requirements Analysis,98
Microsoft Office,99
Public Speaking,99
Leadership,99
Java,100
Algorithms,100
Scala,100
ETL,101
Python,101
R,101
ETL,102
Data Warehousing,102
Oracle,102
Python,103
Machine Learning,103
PostgreSQL,103
Python,104
SQL,104
Data Engineering,104
SQL,105
R,105
Predective Modelling,105
Oracle,106
Data Warehousing,106
Informatica,106
Microsoft Excel,107
PowerPoint,107
Photoshop,107
C++,108
Java,108
Scala,108
Java,109
Python,109
Spring,109
Java,110
Testing,110
Linux,110
C++,111
Python,111
Machine Learning,111
Python (Programming Language),112
PL/SQL,112
Apache Airflow,112
Data Warehousing,113
Data Modeling,113
Java,113
Machine Learning,114
Python,114
R,114
Java,115
Programming,115
Data Analysis,115
Python (Programming Language),116
Apache Spark,116
Scala,116
Java,117
SQL,117
XML,117
Java,118
SQL,118
Shell Scripting,118
Informatica,119
Data Warehousing,119
ETL,119
Business Intelligence,120
Data Analysis,120
SQL,120
Unix,121
Scalability,121
Distributed Systems,121
Data Warehousing,122
SQL,122
DB2,122
Business Intelligence,123
Microsoft SQL Server,123
Oracle SQL Developer,123
Python,124
Leadership,124
SQL,124
Python,125
Java,125
Scala,125
Database Development,126
Python,126
Data Science,126
Java,127
Python,127
Git,127
Python,128
PostgreSQL,128
Amazon Web Services (AWS),128
Tableau,129
SQL,129
Python (Programming Language),129
R,130
Amazon Redshift,130
Looker,130
Algorithms,131
Data Structures,131
Shell Scripting,131
Business Intelligence,132
Agile Methodologies,132
Data Warehousing,132
Java,133
Algorithms,133
Python,133
Data Warehousing,134
Databases,134
SQL,134
Machine Learning,135
Algorithms,135
Data Science,135
Amazon Web Services (AWS),136
Scala,136
Python,136
Python,137
Data Warehousing,137
SQL,137
Agile Methodologies,138
SDLC,138
SQL,138
Python,139
Amazon Web Services (AWS),139
Apache Spark,139
"Extract, Transform, Load (ETL)",140
Python,140
Databases,140
Visio,141
SQL,141
Databases,141
Machine Learning,142
Programming,142
Python,142
Programming,143
Java,143
Python,143
SQL,144
R,144
Python data packages,144
Java,145
C++,145
Python,145
Data Warehousing,146
Business Intelligence,146
Solution Architecture,146
Python (Programming Language),147
Git,147
Amazon Web Services (AWS),147
Software Design,148
Machine Learning,148
API Development,148
SQL,149
Microsoft Excel,149
Data Analysis,149
Data Warehousing,150
Big Data,150
Business Intelligence,150
Python,151
JavaScript,151
Software Engineering,151
Java,152
PHP,152
C++,152
Business Intelligence,153
Databases,153
Analytics,153
Big Data,154
Java,154
Apache Spark,154
Data Migration,155
Performance Tuning,155
Agile Methodologies,155
Business Intelligence,156
Databases,156
Data Integration,156
Machine Learning,157
Algorithms,157
Python,157
Public Speaking,158
Leadership,158
Research,158
SQL,159
Java,159
C,159
Matlab,160
Python,160
R,160
SQL,161
PL/SQL,161
Leadership,161
MySQL,162
Tableau,162
A/B Testing,162
Data Science,163
Machine Learning,163
SnowFlake,163
SQL,164
Python,164
"Extract, Transform, Load (ETL)",164
Java,165
Python,165
Scala,165
Business Intelligence,166
ETL,166
Data Warehousing,166
Data Engineering,167
Cassandra,167
Spark,167
SDLC,168
Data Warehousing,168
Requirements Analysis,168
Statistics,169
Data Analysis,169
"Extract, Transform, Load (ETL)",169
Machine Learning,170
Data Mining,170
Python,170
Microsoft Office,171
Microsoft Excel,171
R,171
SQL,172
Business Analysis,172
Oracle Database,172
Java,173
Python,173
Shell Scripting,173
Data Analysis,174
Research,174
Project Planning,174
Python,175
Astrophysics,175
Physics,175
Research,176
Programming,176
Matlab,176
Python,177
Data Science,177
Web Services,177
C++,178
JavaScript,178
C# 4.0,178
Data Analysis,179
Machine Learning,179
Python (Programming Language),179
Core Java,180
C,180
MySQL,180
Matlab,181
Programming,181
Data Analysis,181
Python,182
SQL,182
Amazon Web Services (AWS),182
Java,183
Python,183
C++,183
R Programming,184
SAS,184
Tableau,184
Python,185
SQL,185
Microsoft Azure,185
Data Warehousing,186
ETL,186
Business Intelligence,186
Java Enterprise Edition,187
Core Java,187
JavaScript,187
Microsoft Office,188
Microsoft Excel,188
Research,188
Java,189
SQL,189
Software Development,189
Python,190
Pandas/Numpy,190
Redshift,190
Python,191
Amazon Web Services (AWS),191
Management,191
Clojure,192
Python,192
Java,192
Python,193
Computer Science,193
Java,193
PL/SQL,194
Oracle,194
Microsoft SQL Server,194
Leadership,195
Product Management,195
C++,195
Data Warehousing,196
Business Intelligence,196
ETL,196
Basketball,197
Social Media,197
Systems Engineering,197
Java,198
SQL,198
C++,198
Machine Learning Engineer Recruiter,199
Deep Learning Engineer Recruiter,199
Artificial Intelligence Engineer Recruiter,199
SQL,200
Microsoft Office,200
HTML,200
Java,201
C#,201
Hadoop,201
Java,202
C++,202
SQL,202
SQL,203
Data Analysis,203
Business Intelligence,203
SQL,204
Databases,204
Tableau,204
Mechanical Engineering,205
Project Management,205
Mechanical Product Design,205
Hadoop,206
SQL,206
Python,206
Data Warehousing,207
SQL,207
Microsoft SQL Server,207
C,208
Microsoft Office,208
C++,208
SQL,209
Microsoft SQL Server,209
PL/SQL,209
Python,210
Java,210
C++,210
Java,211
SQL,211
Python,211
MySQL,212
Tableau,212
Python,212
Data Warehousing,213
Teradata,213
Informatica,213
Help Desk Support,214
Customer Service,214
Technical Support,214
SQL,215
Python,215
Apache Spark,215
"Extract, Transform, Load (ETL)",216
python,216
Amazon Web Services (AWS),216
Programming,217
Data Analysis,217
R,217
c++,218
Python,218
MySQL,218
SQL,219
Python,219
Software Development,219
Python,220
jQuery,220
JavaScript,220
Apache Spark,221
Apache Hive,221
Java,221
SQL,222
Project Management,222
Python (Programming Language),222
JavaScript,223
Python,223
REST,223
Data Engineering,224
Python,224
Java,224
Java,225
SQL,225
Agile Methodologies,225
Java,226
HTML,226
C,226
Scala,227
R,227
Matlab,227
SQL,228
Python,228
Spark,228
Python,229
Machine Learning,229
Databases,229
Java,230
Microsoft SQL Server,230
Walking Fast,230
Data Mining,231
Machine Learning,231
Big Data Analytics,231
Python,232
Statistics,232
Machine Learning,232
Training,233
Recruiting,233
Management,233
Leadership,234
Entrepreneurship,234
Business Strategy,234
Microsoft SQL Server,235
Data Warehousing,235
Data Modeling,235
Python,236
Physics,236
Data Analysis,236
SQL,237
Data Analysis,237
Data Visualization,237
Requirements Analysis,238
SDLC,238
Software Project Management,238
Machine Learning,239
Data Analysis,239
Data Visualization,239
Data Analysis,240
SQL,240
Python,240
Hadoop,241
MapReduce,241
C++,241
Hive,242
Java,242
Oracle Database,242
Microsoft Excel,243
Confluence,243
JIRA,243
Python,244
Statistical Data Analysis,244
Visual Analytics,244
NLP,245
Machine Learning,245
Statistical Modeling,245
Oracle,246
PL/SQL,246
Web Services,246
Data Warehousing,247
PL/SQL,247
Data Warehouse Architecture,247
Hadoop,248
Hive,248
Apache Pig,248
Data Warehousing,249
Unix,249
Enterprise Architecture,249
Unix,250
Linux,250
Perl,250
Python,251
Apache Spark,251
Java,251
Big Data,252
hadoop,252
HDFS,252
Business Intelligence,253
Data Warehousing,253
Business Analysis,253
SQL,254
Tableau,254
Python (Programming Language),254
Data Engineering,255
Web Crawling,255
Machine Learning,255
Public Speaking,256
Microsoft Office,256
Fundraising,256
Java,257
XML,257
JavaScript,257
SQL,258
Business Intelligence,258
Data Analysis,258
SQL,259
Unix,259
Data Warehousing,259
Databases,260
Data Modeling,260
Business Intelligence,260
Hadoop,261
Yarn,261
Hive,261
Multithreading,262
Eclipse,262
Python (Programming Language),262
Python,263
Machine Learning,263
SQL,263
Microsoft Excel,264
VBA,264
Python,264
Analytics,265
Analysis,265
Data Analysis,265
Python,266
R,266
Data Warehousing,266
Python,267
Software Development,267
Databases,267
Machine Learning,268
Python,268
R,268
Hadoop,269
CDH,269
HDP,269
Leadership,270
Engineering,270
Project Management,270
Python,271
Java,271
Raspberry Pi,271
Scala,272
Apache Spark,272
Hive,272
SQL,273
Databases,273
Data Mining,273
SQL,274
Business Intelligence,274
Amazon EMS,274
Spark,275
Data Engineering,275
Scala,275
Python,276
R,276
SQL,276
Python,277
JavaScript,277
SQL,277
Python,278
Spark,278
map reduce,278
python,279
Databases,279
Amazon Web Services (AWS),279
Hadoop,280
Big Data,280
Hive,280
Data Analysis,281
Python,281
Leadership,281
Hadoop,282
Java,282
Data Analysis,282
Data Warehousing,283
PL/SQL,283
Business Intelligence,283
Public Speaking,284
Machine Learning,284
Python,284
SQL,285
R,285
Data Analysis,285
Software Development,286
Software Engineering,286
System Architecture,286
Python,287
Penetration Testing,287
C,287
Big Data Analytics,288
Leadership,288
Hadoop,288
SQL,289
Business Intelligence,289
Business Analysis,289
Data Visualization,290
Tableau,290
Greenplum,290
Java,291
SQL,291
Linux,291
Hadoop,292
Distributed Computing,292
Data Warehousing,292
Healthcare Big Data Analytics,293
Data Analysis,293
Health Informatics,293
Transportation,294
Python,294
Data Engineering,294
SQL,295
Python,295
Tableau,295
Java,296
Spring,296
Hibernate,296
SQL,297
Python,297
R,297
MySQL,298
Business Analytics,298
Ad Hoc Reporting,298
Hadoop,299
Apache Spark,299
HBase,299
SQL,300
Python,300
Tableau,300
Big Data,301
Python,301
Airflow,301
Data Architecture,302
Electronic Trading Systems,302
Banking Technologies,302
Apache Spark,303
Scala,303
Java,303
Teradata,304
Data Modeling,304
Unix,304
Data Warehousing,305
Informatica,305
ETL,305
PL/SQL,306
Informatica,306
OBIEE,306
Business Intelligence,307
Data Warehousing,307
Databases,307
Big Data,308
Machine Learning,308
Data Analysis,308
Data Analysis,309
SQL,309
Business Analysis,309
SQL,310
Information Technology,310
Data Analysis,310
C++,311
Java,311
Microsoft Word,311
Java,312
Distributed Systems,312
Real time event processing,312
Big Data,313
Hadoop,313
JSF,313
Teradata Data Warehouse,314
Business Objects,314
Teradata SQL,314
Data Warehousing,315
ETL,315
Oracle,315
Data Analysis,316
Python,316
SQL,316
Cognos,317
Data Warehousing,317
SQL,317
C,318
Java,318
Algorithms,318
Start-ups,319
Cloud Computing,319
SaaS,319
Big Data,320
Cassandra,320
Apache Spark,320
Python,321
Go (Programming Language),321
Data Warehousing,321
SQL,322
JavaScript,322
Core Java,322
Web Services,323
Java Enterprise Edition,323
Hibernate,323
Data Analysis,324
Tableau,324
Python (Programming Language),324
Amazon Web Services (AWS),325
Data Migration,325
Databases,325
Spark,326
Data Warehousing,326
Scala,326
Hadoop,327
SQL,327
Java,327
SQL,328
Data Analysis,328
Java,328
Data Analysis,329
Machine Learning,329
Neural Networks,329
Solution Architecture,330
Bigdata HA architecture and setup,330
Amazon Web Services (AWS),330
Machine Learning,331
Data Analysis,331
Python,331
Leadership,332
Event Planning,332
Java,332
Python,333
SQL,333
Databases,333
iOS development,334
Java Application Development,334
Media Planning,334
C,335
C++,335
Embedded Systems,335
Python,336
Linux,336
Selenium,336
Research,337
Science,337
Qualitative Research,337
Software Development,338
Spanish,338
Mandarin,338
Java,339
Python,339
C,339
C++,340
HTML,340
C,340
Fixed Income,341
Bloomberg,341
Bonds,341
Data Warehousing,342
Apache Spark,342
Big Data,342
SQL,343
Python (Programming Language),343
A/B Testing,343
Oracle,344
Hadoop,344
Java Enterprise Edition,344
Bid Evaluation,345
Purchasing Processes,345
Data Analysis,345
Java,346
Apache Spark,346
Scala,346
Data Warehousing,347
Hive,347
Apache Pig,347
Machine Learning,348
Python,348
R,348
C,349
C++,349
Core Java,349
R,350
Python,350
Tableau,350
Business Intelligence,351
Data Warehousing,351
Hadoop,351
Research,352
Microsoft Excel,352
Leadership,352
PL/SQL,353
Teradata,353
Informatica,353
Java,354
HTML,354
jQuery,354
Oracle,355
PL/SQL,355
C++,355
Derivatives,356
Time Series Analysis,356
Risk Management,356
Data Warehousing,357
Business Intelligence,357
Big Data Technologies,357
Teradata Data Warehouse,358
Hadoop,358
IBM Mainframe,358
Apache Spark,359
Scala,359
Machine Learning,359
Microsoft SQL Server,360
Azure Databricks,360
Apache Spark,360
Data Warehousing,361
Data Analysis,361
Hadoop,361
Machine Learning,362
Big Data,362
Data Modeling,362
Hadoop,363
Big Data,363
Software Development,363
Oozie,364
Scala,364
Pig,364
Data Warehousing,365
ETL,365
Data Warehouse Architecture,365
Apache Spark,366
Google Cloud Platform (GCP),366
Apache Airflow,366
Business Intelligence,367
Data Analysis,367
Python,367
Java,368
Presto,368
HTML,368
R,369
Python,369
SAS,369
Big Data Analytics,370
Amazon Web Services (AWS),370
Cloud Computing,370
QlikView Development,371
Chemical Engineering,371
C,371
Data Analysis,372
Analysis,372
Statistics,372
SQL,373
DB2,373
Requirements Analysis,373
SQL,374
Database Design,374
Data Modeling,374
,375
Informatica,376
QlikView Development,376
Python,376
Business Intelligence,377
Software Development,377
Microsoft SQL Server,377
Oracle,378
Informatica,378
Teradata,378
Big Data,379
Data Products,379
Python,379
Distributed Systems,380
Scalability,380
Cloud Computing,380
Python,381
Agile Methodologies,381
Hadoop,381
SQL,382
Databases,382
Business Intelligence,382
Derivatives,383
Fixed Income,383
Interest Rate Derivatives,383
Machine Learning,384
Business Intelligence,384
Data Warehousing,384
Data Science,385
Machine Learning,385
Data Analytics,385
