Tools & Technologies,ID
Java,0
HBase,0
C,0
C++,0
CSS,0
JavaScript,0
Matlab,0
SQL,0
HTML,0
Databases,0
Hadoop,0
Microsoft Office,0
Python (Programming Language),0
Open Source,1
Java,1
Linux,1
C++,1
REST,1
Rust,1
SQL,1
Java,2
PowerPoint,2
JavaScript,2
OS X,2
Microsoft Word,2
Python,2
C,2
MySQL,2
C++,2
Node.js,2
PostgreSQL,2
SQL,2
Git,2
Photoshop,2
SPSS,2
Amazon Web Services (AWS),2
jQuery,2
Oracle,3
SSIS,3
Microsoft SQL Server,3
Business Objects,3
SSRS,3
SQL,3
DB2,3
Unix,3
Cognos,3
Databases,3
PL/SQL,3
XML,3
Siebel,3
Sybase,3
Crystal Reports,3
Informatica Power Center,3
COBOL,3
Databases,4
Java,4
JavaScript,4
HTML,4
Visio,4
PHP,4
MySQL,4
Core Java,4
ASP.NET,4
C,4
Git,4
C++,4
JAVA,4
Tableau,4
Scala,4
Amazon Web Services (AWS),4
Python,5
JavaScript,5
MySQL,5
PHP,5
Adobe photoshop,5
Tableau,5
Hadoop,5
Amazon Web Services (AWS),5
scala,5
SQL,6
Python (Programming Language),6
Amazon Web Services (AWS),6
Hadoop,6
Oracle,6
Tableau,6
Business Objects,6
Microsoft SQL Server,6
Amazon S3,6
PL/SQL,6
Amazon Elastic MapReduce (EMR),6
C++,7
SQL,7
Bash,7
Mathematica,7
PowerPoint,7
Microsoft Office,7
Microsoft Word,7
Git,7
Microsoft Excel,7
Tableau,7
Linux,7
Databases,7
Java,8
SQL,8
Microsoft Excel,8
Python,8
Informatica,8
Tableau,8
Linux,8
MySQL,8
Hadoop,8
R,8
Apache Airflow,8
Python (Programming Language),8
Tableau,9
C++,9
HTML,9
PowerPoint,9
Microsoft Word,9
Informatica,9
Java,9
XML,9
MySQL,9
R,9
TensorFlow,9
SQL,10
PHP,10
XHTML,10
Windows,10
Visio,10
SharePoint,10
Microsoft Excel,10
XML,10
Adobe Creative Suite,10
Microsoft Word,10
PowerPoint,10
Databases,10
Cascading Style Sheets (CSS),10
Outlook,10
jQuery,10
CSS,11
SQL,11
Ruby on Rails,11
REST,11
Amazon Web Services (AWS),11
PHP,11
Git,11
HTML,11
MySQL,11
Unix,11
Cascading Style Sheets (CSS),11
Python (Programming Language),11
Hadoop,12
Linux,12
Mathematica,12
R,12
Databases,12
Django,12
Python,13
HTML,13
CSS,13
Matlab,13
C,13
JavaScript,13
C++,13
SQL,13
OS X,13
Cascading Style Sheets (CSS),13
Informatica,14
SQL,14
Oracle,14
PL/SQL,14
Unix,14
Hadoop,14
Enterprise Software,14
Databases,14
DB2,14
Perl,14
XML,14
IBM DB2,14
Oozie,14
Python,14
Scala,14
Java,14
Amazon Web Services (AWS),14
MapReduce,14
PySpark,14
Tableau,14
Amazon Web Services (AWS),15
HBase,15
C++,15
JavaScript,15
C,15
SQL,15
SQL,16
Informatica,16
Oracle,16
Hadoop,16
Databases,16
PL/SQL,16
Unix,16
Python,16
Java,16
MapReduce,16
HDFS,16
Amazon Athena,16
Apache Airflow,16
Amazon S3,16
HiveQL,16
Amazon Web Services (AWS),16
Java,17
Scala,17
Python (Programming Language),17
Amazon Web Services (AWS),17
Oozie,17
HBase,17
Oracle,17
SQL,17
Java Enterprise Edition,17
SSRS,18
Databases,18
Oracle,18
T-SQL,18
XML,18
SQL Server Integration Services (SSIS),18
Transact-SQL (T-SQL),18
SQL Server Reporting Services (SSRS),18
Informatica,18
DB2,18
IBM DB2,18
Google Cloud Platform,18
Python,18
Django,18
Tableau,18
Google BigQuery,18
Apache Airflow,18
Google Cloud Platform (GCP),18
Tableau,19
Hadoop,19
HBase,19
MapReduce,19
Core Java,19
Python,19
Pyspark,19
Unix,19
SQL,19
Apache Oozie,19
SQL,20
Microsoft SQL Server,20
Hadoop,20
Oracle,20
Crystal Reports,20
Business Objects,20
Microsoft Excel,21
Microsoft Office,21
PowerPoint,21
Unix,21
SQL,21
Python,21
Tableau,21
Microsoft PowerPoint,21
Java,21
Bash,21
Perl,21
PostgreSQL,21
Linux,21
Databases,21
SQL,22
Business Objects,22
Databases,22
Unix,22
Tableau,22
Python,22
Hadoop,22
HTML,23
SQL,23
JavaScript,23
Python,23
Google Analytics,23
JDBC,24
JSP,24
Servlets,24
HTML,24
JavaScript,24
SQL,24
Microsoft SQL Server,24
PL/SQL,24
Oracle,24
Sybase,24
C,24
Microsoft Office,24
Spring Framework,24
Cascading Style Sheets (CSS),24
Map Reduce,24
Verilog,25
Embedded Systems,25
Matlab,25
Microsoft Office,25
Microsoft Excel,25
Microsoft Word,25
Microsoft PowerPoint,25
SQL,25
Tableau,25
MapReduce,26
PL/SQL,26
Oracle,26
Databases,26
SQL,26
Unix,26
XML,26
Java,26
MySQL,26
HBase,26
PostgreSQL,26
Druid,26
Oozie,26
Hadoop,26
Amazon Web Services (AWS),26
MySQL,27
Scala,27
Hadoop,27
PostgreSQL,27
R,27
Amazon Web Services (AWS),27
Linux,27
LaTeX,27
Microsoft Excel,27
Git,27
D3.js,27
Pandas,27
MapReduce,27
SQL,28
Matlab,28
Java,28
R programming,28
JavaScript,28
SSRS,28
ASP.NET MVC,28
C#,28
SSIS,28
Microsoft Office,28
Tableau,28
Spring MVC,28
Linux,28
Powershell,28
SQL,29
Microsoft Excel,29
Tableau,29
HTML,29
JavaScript,29
Python,29
R Programming,29
PowerPoint,29
Microsoft Word,29
R,29
Microsoft PowerPoint,29
Cascading Style Sheets (CSS),29
C++,29
C,29
Linux,29
Relational Databases,29
PHP,29
Databases,29
Matlab,30
Linux,30
Microsoft Office,30
Java,30
Scala,30
Google Cloud Platform (GCP),30
Google BigQuery,30
Apache Airflow,30
Amazon S3,31
Microsoft Excel,31
SQL,31
Linux,31
Amazon Elastic MapReduce (EMR),31
PySpark,31
Git,31
AutoCAD,31
LaTeX,32
Microsoft Excel,32
Microsoft Office,32
Microsoft Word,32
Java,32
JavaScript,32
HTML5,32
Cascading Style Sheets (CSS),32
PL/SQL,33
Informatica,33
Microsoft SQL Server,33
hadoop,33
Scala,33
Databases,33
Java,33
MapReduce,33
IBM DB2,33
Apache Spark Streaming,33
Business Objects,33
C,33
Microsoft Office,33
HBase,33
Apache Oozie,33
Apache spark streaming,33
Azure Data Factory,33
Azure Databricks,33
Azure Cosmos DB,33
SQL SERVER,33
Python (Programming Language),33
Linux,33
Python,34
R,34
Hadoop,34
JavaScript,34
Unix,34
XML,34
Amazon Web Services (AWS),34
PostgreSQL,34
MongoDB,34
Scala,34
MySQL,34
RESTful WebServices,34
Scala,35
Java,35
Linux,35
Hadoop,35
C++,35
SQL,35
Android,35
Java Enterprise Edition,35
Embedded Systems,35
Unix,35
MySQL,35
SQLite,35
Ruby,35
Python,36
Tableau,36
HBase,36
C,36
HTML,36
Hadoop,36
MySQL,36
Java,36
Scala,36
Pandas (Software),36
R,36
SAS,36
Visual Basic,36
SPSS,36
SAS Visual Analytics,36
Amazon Web Services (AWS),36
Selenium,36
PostgreSQL,36
Amazon S3,36
Google Analytics,36
Apache Airflow,36
SQL,37
JSON,37
REST,37
MapReduce,37
Python,37
Relational Databases,37
Databases,37
C,38
C++,38
Java,38
Scala,38
Python,38
Matlab,38
SQL,38
R,38
Linux,38
Amazon Web Services (AWS),38
Software as a Service (SaaS),38
Embedded Systems,38
Embedded Software,38
RTOS,38
Embedded Linux,38
Firmware,38
Device Drivers,38
Representational State Transfer (REST),38
Microsoft SQL Server,39
Unix,39
Linux,39
Hadoop,39
Solaris,39
Amazon Web Services (AWS),39
Software as a Service (SaaS),39
VMware,39
SaaS,39
SQL Server,39
AWS CloudFormation,39
Cloudera,39
Tableau,39
Unix,40
PL/SQL,40
Java,40
Perl,40
Hadoop,40
Linux,40
JUnit,40
Visio,40
Scala,41
Python,41
SQL,41
Docker,41
MongoDB,41
JSP,41
R,41
MapReduce,41
C++,41
CSS,41
HTML,41
Bash,41
Servlets,41
Databases,41
Eclipse,41
Java Enterprise Edition,41
JavaScript,41
MySQL,41
Microsoft Office,41
Unix,41
XML,41
HBase,41
Flume,41
Oracle,41
Microsoft Excel,41
Amazon Web Services (AWS),41
Jenkins,41
SQL,42
Matlab,42
Amazon Web Services (AWS),42
Core Java,42
Scala,42
PHP,42
C++,42
C,42
JavaScript,42
Microsoft Excel,42
HTML,42
Microsoft SQL Server,42
PowerPoint,42
Powershell,42
Java,42
Microsoft Office,42
Adobe Creative Suite,42
R,43
XML,43
Microsoft SQL Server,43
Java,43
Microsoft SQL Server,44
Databases,44
SPSS,44
Microsoft Excel,44
C++,44
SQL Server Integration Services (SSIS),44
Microsoft Office,44
Microsoft Word,44
Microsoft PowerPoint,44
MySQL,44
SQL,45
Python,45
Hadoop,45
Oracle,45
Databases,45
Amazon Web Services (AWS),45
MySQL,45
Informatica,45
Unix,45
Linux,45
PL/SQL,45
HBase,45
Perl,45
Microsoft SQL Server,45
Cognos,45
Java,45
Visual C#,45
Enterprise Software,45
Oozie,45
Pandas,45
SQL,46
pytorch,46
tensorflow,46
keras,46
docker,46
Java,46
InDesign,46
Microsoft Office,46
Final Cut pro,46
Photoshop,46
PostgreSQL,47
Looker,47
Docker,47
Matlab,48
R,48
.NET,48
SQL,48
Microsoft Excel,48
Visual Basic,48
Computer Hardware,48
Embedded Systems,48
Amazon Web Services (AWS),48
Visual Studio,48
C/C++/C#,48
Bootstrap,48
Docker,48
SQL,49
Python,49
Java,49
Hadoop,49
Databases,49
Perl,49
Oracle,49
Linux,49
Apache,49
Solaris,49
SaaS,49
Subversion,49
Amazon Web Services (AWS),49
Jenkins,49
Docker,49
Tableau,50
Python,50
SQL,50
Transact-SQL (T-SQL),50
Microsoft Excel,50
Git,50
Github,50
R,50
Microsoft SQL Server,50
Microsoft SQL Server,51
Tableau,51
SQL,51
R,51
MongoDB,51
Informatica Powercenter,51
Transact-SQL (T-SQL),51
SQL Server Integration Services (SSIS),51
SQL Server Reporting Services (SSRS),51
Python,51
Microsoft Power BI,51
Python (Programming Language),51
Microsoft Azure,51
Microsoft Azure Machine Learning,51
Azure Data Lake,51
Azure Data Factory,51
Azure Databricks,51
Azure IoT,51
Powershell,51
python,51
Hadoop,51
Scala,51
