Job Title,ID,State,City,Exp_years,School,Degree,Major
Data Engineer,0,California,San Francisco,8,University of Washington,etc,Biochemistry Applied Mathematics/Chemistry minor 
Data Engineer,1,California,San Francisco,6,Korea University,Ph.D,Doctor of Philosophy (Ph.D.) Computer Science 
Data Engineer,2,New York,New York,8,Barnard College,Bachelor,Bachelor's Degree Computer Science 
Data Engineer,3,Washington,Seattle,20,Jawaharlal Nehru Technological University,Bachelor,Bachelor's degree Engineering 
Data Engineer,4,New York,New York,7,Syracuse University,Master,Masters of Science Information Management 
Data Engineer,5,Missouri,Kansas City,3,University of North Carolina at Charlotte,Master,Master of Science (MS)- Computer Science Data Science and Business Analytics 
Data Engineer,6,California,,15,The Wharton School,etc,"Certificate Program: Business Analytics ""Data to Insights""  "
Data Engineer,7,Washington,,9,University of Washington,Master,Master's degree Theoretical and Computational Chemistry 
Data Engineer,8,New Jersey,,4,Stevens Institute of Technology,Master,Master of Science (MS) Analytics and Data Sciences 3.78
Data Engineer,9,California,San Francisco,4,University of Houston-Clear Lake,Master,Master's degree Computer Science 
Data Engineer,10,Massachusetts,Boston,6,General Assembly,etc,Certification Product Management 
Data Engineer,11,California,San Francisco,5,"University of California, Davis",Bachelor,Bachelor's Degree Philosophy - Symbolic Logic 
Data Engineer,12,New York,New York,11,University of Oregon,Master,"M.Sc., partial Ph.D (ABD). Physics "
Data Engineer,13,Washington,Seattle,6,"University of California, Berkeley",Bachelor,Bachelor of Science - BS Computer Science 
Data Engineer,14,California,,17,spark training,etc,NA apache spark 
Data Engineer,15,California,,12,Stony Brook University,Master,MS Computer Science 
Data Engineer,16,Texas,,8,Anna University,Bachelor,Bachelor of Engineering Electrical and Electronics Engineering 79%
Data Engineer,17,California,San Francisco,15,Jawaharlal Nehru Technological University,Bachelor,Bachelor of Technology (B.Tech.) Computer Science and Information Technology 
Data Engineer,18,California,San Francisco,10,Jawaharlal Nehru Technological University,etc,Engineer's Degree Electronics and Communications Engineering 
Data Engineer,19,California,,14,Anna University,Bachelor,Bachelor's degree Computer Science 
Data Engineer,20,California,San Francisco,14,ACTS CDAC,etc,DAC Computer Science First
Data Engineer,21,California,San Francisco,4,University of California San Diego,Bachelor,Bacheler of Science (BS) Physiology and Neuroscience 
Data Engineer,22,California,,8,Bharathiar University,Bachelor,BSc Physics 
Data Engineer,23,California,Los Angeles,7,UCLA,etc, Psychology 
Data Engineer,24,California,Los Angeles,7,Western Illinois University,Master,Master's degree Computer Science 3.909/4.0 GPA
Data Engineer,25,Rhode Island,Providence,0,Syracuse University,etc,Graduate Computer Engineering 
Data Engineer,26,California,San Francisco,12,University of Mumbai,Bachelor,Bachelor of Engineering (BEng) Computer Science 
Data Engineer,27,California,San Francisco,3,Columbia University in the City of New York,Bachelor,Bachelor of Arts Applied Mathematics 
Data Engineer,28,California,San Francisco,5,University of Washington,Bachelor,"Bachelor's Degree Management Information Systems, General 3.7"
Data Engineer,29,New York,New York,3,New York University,Master,Master’s Degree Computer Science 
Data Engineer,30,California,San Francisco,5,University of Waterloo,Bachelor,Bachelor of Applied Science (B.A.Sc.) Systems Design Engineering 
Data Engineer,31,Washington,Seattle,11,The University of Texas at San Antonio,Bachelor,Bachelor of Science (B.S.) Mathematics 
Data Engineer,32,Washington,Seattle,4,University of San Francisco,Master,Master of Science - MS Data Science 
Data Engineer,33,Illinois,Chicago,17,"Shanmugha Arts, Science, Technology and Research Academy",Bachelor,Bachelor of Technology (B.Tech.) Information Technology 
Data Engineer,34,California,San Francisco,5,Carnegie Mellon University,Master,Masters of Information Systems Management Computer Science 
Data Engineer,35,Washington,Seattle,13,Soongsil University,Bachelor,Bachelor Computer Science 
Data Engineer,36,New York,New York,1,California State University-Sacramento,Master,Master's degree Computer Science 
Data Engineer,37,Washington,,5,UCL,Master,Master of Engineering (MEng) Computer Science (International Programme) 2nd Class Upper
Data Engineer,38,Illinois,Chicago,29,University of Illinois at Urbana-Champaign,Bachelor,Bachelor's Degree Electrical Engineering GPA 4.95 / 5.0
Data Engineer,39,California,,12,Kent State University,Master,MS Computer Sciences 
Data Engineer,40,California,,16,University of Texas,Master,MS Computer Science and Engineering 
Data Engineer,41,California,Los Angeles,4,Indiana University Bloomington,Master,Master of Science (MS) Data Science 3.77/4.0
Data Engineer,42,Massachusetts,Boston,5,Indiana University Bloomington,Master,Master's degree Data Science 
Data Engineer,43,New York,New York,5,Syracuse University,Master,Master's Degree Information Management 3.83/4.00
Data Engineer,44,New York,New York,6,New York University,Master,Master's Degree Information Systems 3.61
Data Engineer,45,New York,New York,24,"University of California, Berkeley",etc, Data Warehousing & Business Intelligence 
Data Engineer,46,California,,2,Konkuk University,etc,Undergraduate Industrial Engineering 
Data Engineer,47,California,,6,San Francisco State University,Master,Master's Degree Mathematics 3.5/4.0
Data Engineer,48,California,,15,Stanford University,Master,Master of Science (MS) Electrical Engineering 
Data Engineer,49,California,,23,Principia College,Bachelor,"BS Computer Science (major), Mathematics (minor) "
Data Engineer,50,Washington,Seattle,10,Seattle Pacific University,Bachelor,Bachelor’s Degree BSBA Finance & International Business 
Data Engineer,51,Pennsylvania,,13,Indiana University Bloomington,Master,"MS Data Science Statistics, Data Mining, Visualization 3.5"
Data Engineer,52,California,Los Angeles,4,California State Polytechnic University-Pomona,Master,Master's degree Computer Science 3.9
